Time (s),p_chol_LE Tokens
0.752,2648798983.2372303
0.754,2649920820.1819897
0.756,2648879082.801847
0.758,2648823824.539799
0.76,2649925522.2239947
0.762,2650015730.181817
0.764,2650020487.573029
0.766,2650547842.289517
0.768,2650589374.36123
0.77,2650589613.2114506
0.772,2648902453.2869062
0.774,2648501640.5744004
0.776,2649891798.6856303
0.778,2648559686.617258
0.78,2648805307.895582
0.782,2648823493.8923073
0.784,2648825884.6618958
0.786,2649931178.0504494
0.788,2648568108.999154
0.79,2648809615.1432815
0.792,2648502757.126183
0.794,2649898091.778021
0.796,2650019801.3138995
0.798,2650552748.2800593
0.8,2650058136.7601027
0.802,2650032072.481052
0.804,2648892562.6602154
0.806,2649939994.618629
0.808,2650545441.5984516
0.81,2650594459.323639
0.812,2648593696.577741
0.8140000000000001,2648814319.052489
0.8160000000000001,2648508383.1066527
0.8180000000000001,2648489935.1950064
0.8200000000000001,2649904897.7623587
0.8220000000000001,2648575232.6218615
0.8240000000000001,2648820782.9032974
0.8260000000000001,2648516662.6244597
0.8280000000000001,2650407869.9649715
0.8300000000000001,2650062346.808237
0.8320000000000001,2648587037.609827
0.834,2648499995.2717543
0.836,2648495467.34522
0.838,2649913828.022193
0.84,2650035090.2020984
0.842,2650569335.1134734
0.844,2650073643.0386105
0.846,2650044848.416845
0.848,2650041347.4391274
0.85,2650567949.210905
0.852,2650610170.1977854
0.854,2650612344.482715
0.856,2650070205.152861
0.858,2648903519.363271
0.86,2648843894.17606
0.862,2648841669.4330583
0.864,2649946197.783608
0.866,2650560610.6196284
0.868,2650069882.9628253
0.87,2648586286.626335
0.872,2650412961.4363546
0.874,2648596109.791478
0.876,2648822854.460898
0.878,2648839985.648109
0.88,2649946359.1533084
0.882,2648583570.91964
0.884,2648828647.967866
0.886,2648846148.1594515
0.888,2648524244.7487693
0.89,2649920872.663644
0.892,2648908740.9123588
0.894,2648855839.5349646
0.896,2649957834.9798274
0.898,2650048907.8046513
0.9,2648599905.683181
0.902,2648518974.4135237
0.904,2650424048.854282
0.906,2648937073.4036183
0.908,2650469496.1151404
0.91,2648616242.3244276
0.912,2648839408.233858
0.914,2648531180.481934
0.916,2648830606.0904317
0.918,2649955442.2276216
0.92,2650570172.4746456
0.922,2650080567.0204825
0.924,2650054707.382963
0.926,2650578474.5357714
0.928,2648936990.2631145
0.93,2648856780.778642
0.932,2648528854.526046
0.934,2649921857.9348836
0.936,2648908752.608549
0.9380000000000001,2650460330.781916
0.9400000000000001,2648928856.5497746
0.9420000000000001,2648852393.85883
0.9440000000000001,2648847272.0083785
0.9460000000000001,2648845264.2020936
0.9480000000000001,2648843944.076098
0.9500000000000001,2648846093.280579
0.9520000000000001,2650452387.6671886
0.9540000000000001,2648606796.799749
0.9560000000000001,2650424962.825363
0.9580000000000001,2650067206.239655
0.96,2650048233.155034
0.962,2648592265.4333596
0.964,2650426423.838078
0.966,2648611355.708291
0.968,2649932380.782001
0.97,2648593319.8561645
0.972,2648837319.572362
0.974,2648531237.5235887
0.976,2649924139.019257
0.978,2648591663.211008
0.98,2650427074.9114423
0.982,2648611309.0340037
0.984,2650432406.554441
0.986,2648932691.1571727
0.988,2648538543.9396734
0.99,2648836231.6529675
0.992,2649957629.2172027
0.994,2650571247.2248483
0.996,2648937683.296552
0.998,2648538850.2425103
1.0,2650422922.044632
1.002,2650610105.520165
1.004,2648620630.790347
1.006,2649938908.8283687
1.008,2648915590.0109534
1.01,2650470695.427592
1.012,2650083222.6298184
1.014,2648925153.887463
1.016,2649968680.5974784
1.018,2650577910.2082195
1.02,2648944349.9300184
1.022,2649973285.390543
1.024,2650054570.6562815
1.026,2648604328.7346697
1.028,2648844450.359324
1.03,2649965900.9167447
1.032,2650057792.419157
1.034,2648608571.288314
1.036,2648849390.852497
1.038,2649967419.0397606
1.04,2650583290.107161
1.042,2650632776.257864
1.044,2650636631.5580525
1.046,2648951075.037195
1.048,2650479862.68608
1.05,2648626661.929077
1.052,2650443599.343423
1.054,2650085440.4246726
1.056,2650591774.0936265
1.058,2648948783.504901
1.06,2649974284.4337153
1.062,2650057624.979556
1.064,2648928310.4104867
1.066,2649976456.4236073
1.068,2650584750.682388
1.07,2648949342.493214
1.072,2648872325.5038385
1.074,2648545527.545353
1.076,2649936939.528308
1.078,2650577942.9956346
1.08,2650631025.9880395
1.082,2648629140.747487
1.084,2648850397.9977226
1.086,2650468162.9048886
1.088,2648942348.484711
1.09,2648547195.2311974
1.092,2648844325.49804
1.094,2650469809.466482
1.096,2648946185.123158
1.098,2649977045.528696
1.1,2650058183.792744
1.102,2648608390.613618
1.104,2648524143.007509
1.106,2648843714.21697
1.108,2649969747.0619264
1.11,2650584382.4729247
1.112,2648632660.3709884
1.114,2649948983.0435004
1.116,2650062063.6885495
1.118,2648931158.9074397
1.12,2650479303.9312515
1.122,2648945467.515957
1.124,2649975653.6677113
1.1260000000000001,2648607047.674052
1.1280000000000001,2648526454.44437
1.1300000000000001,2648521518.3077607
1.1320000000000001,2648520240.0141716
1.1340000000000001,2648519407.8729944
1.1360000000000001,2650429850.6166005
1.1380000000000001,2650620993.608312
1.1400000000000001,2648630759.199976
1.1420000000000001,2648849975.321611
1.1440000000000001,2650465970.8791494
1.1460000000000001,2648623463.1002474
1.1480000000000001,2648527865.8219666
1.1500000000000001,2650432331.3231835
1.1520000000000001,2650088130.3855076
1.154,2648612928.916007
1.156,2648851665.1195936
1.158,2648545368.3629723
1.16,2648845363.2855225
1.162,2648867479.833464
1.164,2649972612.4586744
1.166,2648611592.9147954
1.168,2649947940.560418
1.17,2650585926.6462164
1.172,2648634992.9103084
1.174,2648532359.06895
1.176,2649940459.951268
1.178,2648928211.9260883
1.18,2649977293.1092596
1.182,2648608016.6377435
1.184,2648529181.6680503
1.186,2649938024.7338467
1.188,2650061324.712773
1.19,2648934123.49918
1.192,2650484406.502206
1.194,2650631823.9487224
1.196,2650641693.839894
1.198,2650641056.7928743
1.2,2648953226.2364
1.202,2648873800.6444874
1.204,2650476572.5633726
1.206,2650630277.131234
1.208,2648636973.315169
1.21,2650450891.1237607
1.212,2650629529.976978
1.214,2648639641.232429
1.216,2648537440.64065
1.218,2648855391.176846
1.22,2648555701.6299505
1.222,2648536906.3911343
1.224,2650447214.6670523
1.226,2650636637.4815893
1.228,2650112433.4503903
1.23,2648627917.271097
1.232,2648542443.7580495
1.234,2649955081.3908496
1.236,2648624597.6380954
1.238,2649967232.648043
1.24,2650602096.3454137
1.242,2650116467.6044555
1.244,2650087463.953099
1.246,2650612122.9352775
1.248,2648970785.9040236
1.25,2650502662.0450444
1.252,2648647714.2830486
1.254,2648549691.278086
1.256,2650454658.904351
1.258,2650109854.2210455
1.26,2650617204.2100616
1.262,2650655262.454259
1.264,2648971066.9136276
1.266,2650499834.118199
1.268,2650106389.216509
1.27,2648628450.433794
1.272,2648545045.3882246
1.274,2650453313.451153
1.276,2650109531.4078617
1.278,2650091929.032126
1.28,2648955346.1662583
1.282,2650001129.502796
1.284,2648632434.515049
1.286,2648553070.202834
1.288,2648870119.419062
1.29,2650495977.9991045
1.292,2648654509.888525
1.294,2649975835.8713737
1.296,2648636007.132344
1.298,2648880855.6276803
1.3,2650002693.59571
1.302,2648960588.839944
1.304,2648582488.476331
1.306,2650468603.000037
1.308,2648659121.2516246
1.31,2648882379.1530375
1.312,2648577689.451036
1.314,2648556638.8101482
1.316,2649970831.072503
1.318,2648957761.689285
1.32,2648583290.7051306
1.322,2650469235.3780704
1.324,2648979510.7752285
1.326,2650011757.4789495
1.328,2648640866.924412
1.33,2650477004.965173
1.332,2650655951.991429
1.334,2648664540.41955
1.336,2650479584.901291
1.338,2650121135.8604693
1.34,2650624163.337874
1.342,2650126223.1045065
1.344,2648644804.0262046
1.346,2649977646.700691
1.348,2648637583.6543484
1.35,2648558202.1993117
1.352,2650464125.489135
1.354,2650118453.8996234
1.356,2648643145.9496145
1.358,2648882236.111852
1.36,2648575805.4143767
1.362,2648553033.7687154
1.364,2650464815.9271817
1.366,2648658008.860135
1.368,2648881513.98184
1.37,2648897472.4150696
1.372,2648577783.89571
1.374,2648556540.5510535
1.3760000000000001,2649971265.8709517
1.3780000000000001,2648642430.131746
1.3800000000000001,2648888120.841853
1.3820000000000001,2648580878.057162
1.3840000000000001,2649976673.028068
1.3860000000000001,2648644221.542685
1.3880000000000001,2650480411.58271
1.3900000000000001,2650126929.9495564
1.3920000000000001,2648651006.984592
1.3940000000000001,2650481393.402198
1.3960000000000001,2650659753.571885
1.3980000000000001,2648988408.3945827
1.4000000000000001,2648909664.2917066
1.4020000000000001,2650512131.795883
1.4040000000000001,2648984464.0657125
1.4060000000000001,2648588251.2655334
1.408,2649980137.6476707
1.41,2648646369.779073
1.412,2649986805.0954404
1.414,2648648532.064568
1.416,2648893818.4506354
1.418,2650015660.7316318
1.42,2650106024.0019197
1.422,2648658014.9684067
1.424,2650488092.625451
1.426,2650134050.5282397
1.428,2650640810.2139235
1.43,2650140839.7418213
1.432,2648977212.698609
1.434,2648917923.4858613
1.436,2650519490.7501264
1.438,2650673026.6572785
1.44,2650682720.2950563
1.442,2650680345.0676227
1.444,2650137987.6512523
1.446,2650635024.274571
1.448,2650673844.458587
1.45,2648991056.5396085
1.452,2648912264.751079
1.454,2650012554.664276
1.456,2650624045.15936
1.458,2648672324.3680587
1.46,2649989264.0712776
1.462,2648966116.1071954
1.464,2650521850.346194
1.466,2648669305.9177217
1.468,2650487805.2543554
1.47,2648988720.1246696
1.472,2650522597.4867344
1.474,2650664957.1977067
1.476,2650136878.016816
1.478,2650109872.9064612
1.48,2650633211.5037766
1.482,2648991514.4500136
1.484,2650524029.9361687
1.486,2648669449.1009383
1.488,2648570061.4192033
1.49,2648888149.4027963
1.492,2650512595.995214
1.494,2650130209.229711
1.496,2648971864.7003074
1.498,2650017972.635019
1.5,2650625444.2088437
1.502,2648672076.685662
1.504,2650486249.502887
1.506,2650128581.797316
1.508,2648970253.8585906
1.51,2648589667.7294664
1.512,2650478215.6920147
1.514,2648986541.1338964
1.516,2650021234.0341034
1.518,2648650461.8096595
1.52,2650484070.6767836
1.522,2648667677.795434
1.524,2648571179.6094537
1.526,2649980398.066176
1.528,2650103766.729408
1.53,2650635735.1848364
1.532,2648676948.168258
1.534,2650491528.0249586
1.536,2648672423.799047
1.538,2648898756.7811184
1.54,2650015329.206268
1.542,2650629822.4617524
1.544,2648676746.0862145
1.546,2650490144.9493356
1.548,2650133586.213928
1.55,2650113736.2157693
1.552,2648657907.810356
1.554,2649989699.0213346
1.556,2650623081.7224545
1.558,2650673384.3924146
1.56,2648991130.735627
1.562,2648911727.964206
1.564,2648584968.1536674
1.566,2650474006.2815113
1.568,2650661423.9122295
1.57,2650136531.843791
1.572,2650109076.645074
1.574,2650106715.0679727
1.576,2648969949.2259474
1.578,2650516959.3028135
1.58,2648982745.2017055
1.582,2648908438.6879687
1.584,2648902610.5049686
1.586,2650505113.5577774
1.588,2650120327.9171505
1.59,2650624131.924739
1.592,2648662567.675236
1.594,2648884055.2603617
1.596,2650500733.867081
1.598,2650120572.2373295
1.6,2648644449.4744186
1.602,2649975622.1446733
1.604,2648956259.404705
1.606,2650008893.870622
1.608,2648959925.721798
1.61,2650011386.2205067
1.612,2650620506.585176
1.614,2650667427.544692
1.616,2650128882.467024
1.618,2650100719.9124117
1.62,2648645262.432977
1.622,2650478276.655729
1.624,2648661709.607562
1.6260000000000001,2648885302.849424
1.6280000000000001,2650506381.766856
1.6300000000000001,2648982440.931374
1.6320000000000001,2650016357.70997
1.6340000000000001,2648963214.8613205
1.6360000000000001,2648585963.9189725
1.6380000000000001,2649973833.0053797
1.6400000000000001,2648960202.1255174
1.6420000000000001,2650513783.247343
1.6440000000000001,2650661563.0597377
1.6460000000000001,2648986174.317645
1.6480000000000001,2650513023.526928
1.6500000000000001,2648976351.005581
1.6520000000000001,2650005485.5607557
1.6540000000000001,2648954125.3934536
1.6560000000000001,2650508523.183599
1.6580000000000001,2648976704.724101
1.6600000000000001,2650509027.1822753
1.6620000000000001,2650653381.9384613
1.6640000000000001,2650125522.464564
1.666,2650624151.846497
1.668,2650126412.2212076
1.67,2650625817.502887
1.672,2650665066.5025806
1.674,2650125346.2278094
1.676,2650619574.5278444
1.678,2650118957.3157706
1.68,2648635088.6005845
1.682,2650464700.5318856
1.684,2650645846.2529974
1.686,2650120128.284448
1.688,2650616508.832587
1.69,2648653023.363517
1.692,2648550818.2567964
1.694,2649960142.829685
1.696,2650080240.600687
1.698,2650611892.8895206
1.7,2650655609.1014485
1.702,2650116897.3444037
1.704,2648951413.374299
1.706,2650500779.5966635
1.708,2650109547.311977
1.71,2648633750.4713616
1.712,2648870583.766372
